nickname,timestamp,comment
킴용,2024.04.21. 19:12,어떻게 도봉순 알게 돼서 얼마 전에 정주행하고 인생 드라마 됐음… 하이라이트랑 여러 부가 영상 보느라 수면 부족 상태 근데 너무 좋다♥️ 박형식 박보영 멍뭉커플 케미 얼굴합 못 잃어ㅜㅜㅜ
깡냉이,2024.04.09. 09:41,장현역 누구에요?
Gone withwind,2024.04.06. 23:16,도봉순 이제 3..4회차보는데 이건 장르가 뭐임? 명랑만화에서 갑자기 살인 스릴러에..치정 심리극? 왔다리갔다리..박보영이란 애는 끝없는 순진무구 얼굴..청춘 로맨스같기도하고  황당시츄에이션  물인가?  뭐냐고
dndu****,2024.03.08. 11:59,네이버 등장인물에 장현 왜 안떠..?
철부지,2024.03.07. 11:31,어머나 박형식 여장 무엇? 각선미가 ㅎㄷㄷ하네?
철부지,2024.03.07. 10:44,박형식도 눈이 참 이쁘구나 재밌네😄
철부지,2024.03.07. 10:26,귀여워 ㅋㅋㅋ
철부지,2024.03.07. 10:25,박형식 더 빠져든다😆
금촌,2024.03.06. 11:34,정주행 다시시작 공비서불쌍해 ㅠ
철부지,2024.03.05. 12:47,이 재밌는 걸 이제 보다니! 박형식 미모 이렇게 이뻤다니 우워~
yuhi****,2024.03.02. 00:30,처음 보는데 이해가 안되는데ㅡㅡ 국두랑 걔 여친은 둘이 대놓고 바람 피는거임?? 남자는 지 친구랑 여자는 지 남친 친구랑?
해바라기,2024.03.01. 03:23,형식아 참 좋다...누이라고 불러다오
해바라기,2024.03.01. 03:23,형시기 바라기!
해바라기,2024.03.01. 03:23,
해바라기,2024.03.01. 03:22,박형식이 성악 발성을 한다...어마어마해
해바라기,2024.02.29. 11:07,도봉순 보다가 졸았다...
해바라기,2024.02.28. 21:05,같은 능력을 가진 딸을 미워하는 도봉순의 엄마 진이...서러운 도봉순 운다
해바라기,2024.02.28. 21:05,도봉순 엄마에게서 차별당하는 딸.
해바라기,2024.02.28. 21:04,박형식!큭
해바라기,2024.02.28. 16:11,ㅎㅎ 5회까지봤는데...끝보니까 박형식  박보영 딸쌍둥이 낳았나보네...ㅎ간난아기가 발로 걷어차ㅋㅋ
해바라기,2024.02.28. 08:13,강남순은 너무 재미없고 출연진도 그랬는데 도봉순은 재미는 있네.박형식이 나와서 그런것같기도하고
해바라기,2024.02.28. 08:08,"박보영이 너무 작고 어려서 여자로 안보일것같은데, 키 차이가 너무 나네.그래도 안좋다는데..."
해바라기,2024.02.28. 07:54,도봉순에서처럼 헤어 해도 박형식 멋있네
해바라기,2024.02.28. 07:54,닥터슬럼프처럼 갈라진 머리 안하고
해바라기,2024.02.28. 00:49,"박형식 너무 멋있어. 게임회사 대표라는 캐릭터라 멋있기도 하지만, 실제로 멋있어"
해바라기,2024.02.28. 00:47,"강남순은 시시해서 보기 싫었는데 2017년도작품도봉순은 재미있네.출연진들도 맘에 들고.
박형식이 2016년 26살에 촬영했던 작품이구나.
박형식 이 때도 멋있었네. 요즘 닥터슬럼프 하는데 얼굴,몸매 변함이 없네. 나이스"
해바라기,2024.02.27. 20:17,강남순보다 훨씬 재미있네
adve****,2024.02.23. 11:21,박보영보고잡다
Happy,2024.02.14. 01:00,아제발 도봉순 봉수니로 2 주세요오옹 ㅠㅠ 둘조합 못잊어..
짜스,2024.02.12. 13:32,도봉순이 더 잼나는데요~~
